INTERVIEW_START_W55,ENVIR8_e_W55,EN7_W55,F_AGECAT,F_SEX,F_EDUCCAT,F_EDUCCAT2,F_PARTYSUM_FINAL
2019-10-09 23:22:00,2.0,1.0,3.0,2.0,1.0,5.0,2.0
2019-10-04 21:02:00,2.0,1.0,3.0,1.0,3.0,2.0,2.0
2019-10-10 13:11:00,2.0,1.0,3.0,2.0,1.0,6.0,2.0
2019-10-04 19:28:59,2.0,1.0,4.0,2.0,3.0,1.0,2.0
2019-10-05 15:40:00,3.0,2.0,1.0,1.0,1.0,5.0,1.0
2019-10-05 11:55:00,3.0,3.0,4.0,1.0,2.0,3.0,1.0
2019-10-04 22:51:59,3.0,2.0,4.0,1.0,1.0,5.0,1.0
2019-10-13 15:53:00,3.0,3.0,2.0,1.0,1.0,5.0,1.0
2019-10-11 16:30:00,2.0,1.0,2.0,2.0,3.0,2.0,2.0
2019-10-09 02:13:00,2.0,2.0,2.0,1.0,1.0,5.0,1.0
2019-10-05 01:18:00,2.0,1.0,3.0,2.0,3.0,2.0,2.0
2019-10-05 22:03:00,2.0,1.0,3.0,2.0,1.0,6.0,2.0
2019-10-05 18:57:00,2.0,2.0,3.0,2.0,3.0,1.0,2.0
2019-10-12 20:31:00,3.0,3.0,4.0,2.0,1.0,6.0,1.0
2019-10-05 14:27:00,3.0,2.0,4.0,2.0,2.0,3.0,1.0
2019-10-04 21:49:00,2.0,1.0,2.0,2.0,1.0,6.0,2.0
2019-10-05 01:18:00,3.0,1.0,4.0,2.0,3.0,2.0,1.0
2019-10-04 00:50:59,2.0,1.0,3.0,2.0,2.0,3.0,2.0
2019-10-05 03:57:00,1.0,2.0,4.0,1.0,3.0,2.0,1.0
2019-10-05 16:00:00,3.0,3.0,4.0,1.0,3.0,2.0,1.0
2019-10-05 00:15:00,2.0,1.0,4.0,1.0,1.0,6.0,2.0
2019-10-07 17:05:59,1.0,2.0,4.0,2.0,3.0,2.0,1.0
2019-10-03 20:55:00,3.0,2.0,4.0,1.0,3.0,2.0,1.0
2019-10-07 00:19:00,2.0,1.0,2.0,2.0,1.0,5.0,2.0
2019-10-07 15:24:00,3.0,3.0,2.0,1.0,1.0,6.0,1.0
2019-10-03 22:06:59,2.0,1.0,3.0,2.0,2.0,4.0,2.0
2019-10-06 19:28:59,3.0,3.0,3.0,1.0,3.0,2.0,1.0
2019-10-12 06:10:00,2.0,1.0,2.0,1.0,2.0,4.0,2.0
2019-10-05 15:03:00,2.0,1.0,3.0,1.0,1.0,6.0,2.0
2019-10-03 21:05:59,1.0,2.0,3.0,1.0,1.0,6.0,1.0
2019-10-05 17:36:00,2.0,1.0,4.0,2.0,1.0,6.0,1.0
2019-10-10 02:01:00,3.0,2.0,4.0,2.0,2.0,4.0,1.0
2019-10-03 21:54:00,1.0,3.0,3.0,1.0,2.0,4.0,1.0
2019-10-11 00:11:00,2.0,2.0,2.0,2.0,1.0,6.0,1.0
2019-10-06 14:50:59,3.0,2.0,4.0,2.0,2.0,3.0,1.0
2019-10-04 21:15:00,2.0,1.0,3.0,1.0,2.0,3.0,2.0
2019-10-04 20:58:59,2.0,1.0,3.0,1.0,1.0,6.0,2.0
2019-10-03 20:57:00,2.0,2.0,4.0,1.0,1.0,5.0,2.0
2019-10-05 15:17:00,3.0,2.0,4.0,1.0,1.0,5.0,1.0
