date,datatype,station,value,attributes
2020-01-01T00:00:00,CDSD,GHCND:ASN00022803,166.4,
2020-01-01T00:00:00,CLDD,GHCND:ASN00022803,166.4,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00022823,208.5,
2020-01-01T00:00:00,CLDD,GHCND:ASN00022823,208.5,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00022841,215.7,
2020-01-01T00:00:00,CLDD,GHCND:ASN00022841,215.7,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00023000,604.4,
2020-01-01T00:00:00,CLDD,GHCND:ASN00023000,604.4,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00023013,631.6,
2020-01-01T00:00:00,CLDD,GHCND:ASN00023013,631.6,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00023034,516.4,
2020-01-01T00:00:00,CLDD,GHCND:ASN00023034,516.4,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00023083,632.8,
2020-01-01T00:00:00,CLDD,GHCND:ASN00023083,632.8,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00023090,659.4,
2020-01-01T00:00:00,CLDD,GHCND:ASN00023090,659.4,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00023122,588.7,
2020-01-01T00:00:00,CLDD,GHCND:ASN00023122,588.7,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00023373,438.3,
2020-01-01T00:00:00,CLDD,GHCND:ASN00023373,438.3,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00023804,183.2,
2020-01-01T00:00:00,CLDD,GHCND:ASN00023804,183.2,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00023842,273.4,
2020-01-01T00:00:00,CLDD,GHCND:ASN00023842,273.4,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00023875,217.6,
2020-01-01T00:00:00,CLDD,GHCND:ASN00023875,217.6,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00023878,387.2,
2020-01-01T00:00:00,CLDD,GHCND:ASN00023878,387.2,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00023885,548.2,
2020-01-01T00:00:00,CLDD,GHCND:ASN00023885,548.2,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00023887,337.7,
2020-01-01T00:00:00,CLDD,GHCND:ASN00023887,337.7,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00023894,319.2,
2020-01-01T00:00:00,CLDD,GHCND:ASN00023894,319.2,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00024024,645.5,
2020-01-01T00:00:00,CLDD,GHCND:ASN00024024,645.5,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00024048,748.4,
2020-01-01T00:00:00,CLDD,GHCND:ASN00024048,748.4,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00024580,375.6,
2020-01-01T00:00:00,CLDD,GHCND:ASN00024580,375.6,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00024584,453.5,
2020-01-01T00:00:00,CLDD,GHCND:ASN00024584,453.5,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00025507,417.5,
2020-01-01T00:00:00,CLDD,GHCND:ASN00025507,417.5,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00026021,199.6,
2020-01-01T00:00:00,CLDD,GHCND:ASN00026021,199.6,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00026091,272.1,
2020-01-01T00:00:00,CLDD,GHCND:ASN00026091,272.1,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00026095,168.4,
2020-01-01T00:00:00,CLDD,GHCND:ASN00026095,168.4,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00026099,328.0,
2020-01-01T00:00:00,CLDD,GHCND:ASN00026099,328.0,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00026100,328.9,
2020-01-01T00:00:00,CLDD,GHCND:ASN00026100,328.9,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00027045,3344.7,
2020-01-01T00:00:00,CLDD,GHCND:ASN00027045,3344.7,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00027054,3851.3,
2020-01-01T00:00:00,CLDD,GHCND:ASN00027054,3851.3, 
2020-01-01T00:00:00,CDSD,GHCND:ASN00027058,3406.0,
2020-01-01T00:00:00,CLDD,GHCND:ASN00027058,3406.0,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00027073,2927.2,
2020-01-01T00:00:00,CLDD,GHCND:ASN00027073,2927.2,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00027075,3228.8,
2020-01-01T00:00:00,CLDD,GHCND:ASN00027075,3228.8,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00028004,2805.6,
2020-01-01T00:00:00,CLDD,GHCND:ASN00028004,2805.6,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00028008,2977.4,
2020-01-01T00:00:00,CLDD,GHCND:ASN00028008,2977.4,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00029038,3485.6,
2020-01-01T00:00:00,CLDD,GHCND:ASN00029038,3485.6,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00029058,3015.1,
2020-01-01T00:00:00,CLDD,GHCND:ASN00029058,3015.1,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00029063,3521.6,
2020-01-01T00:00:00,CLDD,GHCND:ASN00029063,3521.6,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00029127,2618.5,
2020-01-01T00:00:00,CLDD,GHCND:ASN00029127,2618.5,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00029139,3208.7,
2020-01-01T00:00:00,CLDD,GHCND:ASN00029139,3208.7,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00029167,3411.1,
2020-01-01T00:00:00,CLDD,GHCND:ASN00029167,3411.1,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00030022,2635.9,
2020-01-01T00:00:00,CLDD,GHCND:ASN00030022,2635.9,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00030124,2910.8,
2020-01-01T00:00:00,CLDD,GHCND:ASN00030124,2910.8,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00030161,2869.8,
2020-01-01T00:00:00,CLDD,GHCND:ASN00030161,2869.8,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00031011,2552.7,
2020-01-01T00:00:00,CLDD,GHCND:ASN00031011,2552.7,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00031037,2985.5,
2020-01-01T00:00:00,CLDD,GHCND:ASN00031037,2985.5,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00031108,1579.4,
2020-01-01T00:00:00,CLDD,GHCND:ASN00031108,1579.4,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00031209,2730.9,
2020-01-01T00:00:00,CLDD,GHCND:ASN00031209,2730.9,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00031210,1942.0,
2020-01-01T00:00:00,CLDD,GHCND:ASN00031210,1942.0,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00031213,2999.3,
2020-01-01T00:00:00,CLDD,GHCND:ASN00031213,2999.3,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00032025,2215.5,
2020-01-01T00:00:00,CLDD,GHCND:ASN00032025,2215.5, 
2020-01-01T00:00:00,CDSD,GHCND:ASN00032037,2126.1,
2020-01-01T00:00:00,CLDD,GHCND:ASN00032037,2126.1,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00032040,2428.8,
2020-01-01T00:00:00,CLDD,GHCND:ASN00032040,2428.8,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00032141,2297.4,
2020-01-01T00:00:00,CLDD,GHCND:ASN00032141,2297.4,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00033002,2168.9,
2020-01-01T00:00:00,CLDD,GHCND:ASN00033002,2168.9,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00033013,2225.3,
2020-01-01T00:00:00,CLDD,GHCND:ASN00033013,2225.3,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00033045,1818.3,
2020-01-01T00:00:00,CLDD,GHCND:ASN00033045,1818.3,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00033106,2187.4,
2020-01-01T00:00:00,CLDD,GHCND:ASN00033106,2187.4,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00033119,1984.1,
2020-01-01T00:00:00,CLDD,GHCND:ASN00033119,1984.1,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00033195,1841.7,
2020-01-01T00:00:00,CLDD,GHCND:ASN00033195,1841.7,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00033210,1914.7,
2020-01-01T00:00:00,CLDD,GHCND:ASN00033210,1914.7,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00033247,1952.6,
2020-01-01T00:00:00,CLDD,GHCND:ASN00033247,1952.6,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00033294,1700.8,
2020-01-01T00:00:00,CLDD,GHCND:ASN00033294,1700.8,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00033308,1484.4,
2020-01-01T00:00:00,CLDD,GHCND:ASN00033308,1484.4,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00034084,2256.5,
2020-01-01T00:00:00,CLDD,GHCND:ASN00034084,2256.5,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00035069,1748.1,
2020-01-01T00:00:00,CLDD,GHCND:ASN00035069,1748.1,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00035264,2223.9,
2020-01-01T00:00:00,CLDD,GHCND:ASN00035264,2223.9,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00036031,2592.7,
2020-01-01T00:00:00,CLDD,GHCND:ASN00036031,2592.7,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00036034,2188.3,
2020-01-01T00:00:00,CLDD,GHCND:ASN00036034,2188.3,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00037010,2977.3,
2020-01-01T00:00:00,CLDD,GHCND:ASN00037010,2977.3,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00037034,2502.1,
2020-01-01T00:00:00,CLDD,GHCND:ASN00037034,2502.1,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00037036,2623.2,
