Entity,Code,Year,Coal Consumption - EJ,Gas Consumption - EJ,Geo Biomass Other - TWh,Hydro Generation - TWh,Nuclear Generation - TWh,Solar Generation - TWh,Wind Generation -TWh,Oil Consumption - EJ
Cyprus,CYP,2014,0.000092844000056592,0,0.0505,0,0,0.0836,0.1839,0.09817077800000001
Cyprus,CYP,2015,0.000139266000084888,0,0.051236000000000004,0,0,0.126659,0.22185700000000003,0.100550287234
Cyprus,CYP,2016,0.000018592011,0,0.052021000000000005,0,0,0.14593699999999998,0.226701,0.10967532466499999
Cyprus,CYP,2017,0.00012488080002613002,0,0.05175,0,0,0.17202,0.21145,0.11259209362890599
Cyprus,CYP,2018,0.0005698836000000099,0,0.05136,0,0,0.19183,0.22061,0.11140083140999998
Cyprus,CYP,2019,0.000699655320000012,0,0.059935,0,0,0.21564899999999998,0.23813600000000001,0.11089214605
Czech Republic,CZE,1965,1.4790289680000002,0.015445799999999999,0,2.2317970000000003,0,0,0,0.169368794
Czech Republic,CZE,1966,1.474674696,0.0161649,0,2.1036344,0,0,0,0.18699112199999998
Czech Republic,CZE,1967,1.426107816,0.0194175,0,1.8959226000000002,0,0,0,0.20807687100000002
Czech Republic,CZE,1968,1.476223812,0.0239445,0,1.4672408000000001,0,0,0,0.229824537
Czech Republic,CZE,1969,1.534336596,0.0262584,0,1.1976573999999998,0,0,0,0.246574559
Czech Republic,CZE,1970,1.5533028,0.028845,0,1.7103078,0,0,0,0.296383154
Czech Republic,CZE,1971,1.618323804,0.035838,0,1.208,0,0,0,0.326302954
Czech Republic,CZE,1972,1.595254536,0.0389178,0,1.264,0,0,0,0.35701567799999995
Czech Republic,CZE,1973,1.560964644,0.042741,0,1.081,0,0,0,0.401379505
Czech Republic,CZE,1974,1.55518686,0.0521109,0,1.819,0,0,0,0.411555984
Czech Republic,CZE,1975,1.588388184,0.059659199999999996,0,1.814,0,0,0,0.454120794
Czech Republic,CZE,1976,1.6193705040000002,0.0658665,0,1.446,0,0,0,0.479993299
Czech Republic,CZE,1977,1.6543721519999999,0.0748548,0,1.9669999999999999,0,0,0,0.502168658
Czech Republic,CZE,1978,1.660819824,0.08387639999999999,0,1.83,0,0,0,0.519672494
Czech Republic,CZE,1979,1.66132224,0.0941067,0,2.293,0,0,0,0.528155441
Czech Republic,CZE,1980,1.609866468,0.10840050000000001,0,2.399,0,0,0,0.49120391700000005
Czech Republic,CZE,1981,1.60333506,0.108747,0,2.061,0,0,0,0.484389216
Czech Republic,CZE,1982,1.615769856,0.11519189999999999,0,1.67,0,0,0,0.44367722600000004
Czech Republic,CZE,1983,1.6066844999999998,0.1351503,0,1.655,0.2,0,0,0.434423412
Czech Republic,CZE,1984,1.6369550640000001,0.1438569,0,1.298,1.239,0,0,0.46180181600000003
Czech Republic,CZE,1985,1.601409132,0.1766286,0,1.671,2.397,0,0,0.45312412700000004
Czech Republic,CZE,1986,1.5941659680000002,0.18664560000000002,0,1.876,6.149,0,0,0.435197816
Czech Republic,CZE,1987,1.575618444,0.20360160000000002,0,2.465,10.700999999999999,0,0,0.436946735
Czech Republic,CZE,1988,1.5940822319999999,0.2048985,0,2.099,11.815999999999999,0,0,0.419982873
Czech Republic,CZE,1989,1.532703744,0.21145589999999997,0,1.643,12.418,0,0,0.40110000700000004
Czech Republic,CZE,1990,1.245400043292,0.2197107,0,1.161,12.585,0,0,0.362252311
Czech Republic,CZE,1991,1.14088876488,0.2120031,0,1.089,12.132,0,0,0.30308717399999996
Czech Republic,CZE,1992,1.065321169812,0.24282179999999998,0,1.402,12.25,0,0,0.290452396327798
Czech Republic,CZE,1993,1.036367563752,0.24815429999999997,0.221,1.369,12.627,0,0,0.294061085114366
Czech Republic,CZE,1994,0.980880070824,0.24238710000000002,0.309,1.46,12.977,0,0,0.304102321093898
Czech Republic,CZE,1995,0.981805730436,0.27430290000000007,0.405,2.002,12.23,0,0,0.34270265810228007
Czech Republic,CZE,1996,0.979627170924,0.3156732,0.292,1.969,12.85,0,0,0.35872090653213595
Czech Republic,CZE,1997,0.9204496836839999,0.3210795,0.494,1.699,12.494000000000002,0,0,0.342083909009442
Czech Republic,CZE,1998,0.8532080428319999,0.3217689,0.5870000000000001,1.396,13.177999999999999,0,0,0.353107629694033
Czech Republic,CZE,1999,0.7773991206119999,0.3234978,0.6829999999999999,1.681,13.357000000000001,0,0,0.351502838048385
Czech Republic,CZE,2000,0.8881810531200001,0.3140163,0.517,1.758,13.59,0,0,0.339944713652156
Czech Republic,CZE,2001,0.871669402488,0.33629040000000004,0.514,2.0540000000000003,14.7493,0,0.0002,0.359711368432329
Czech Republic,CZE,2002,0.8554704639480001,0.324981,0.494,2.492,18.7382,0,0.0016,0.34830262464115197
Czech Republic,CZE,2003,0.869478533784,0.32833709999999994,0.49,1.383,25.8719,0,0.0039,0.37271274200256294
Czech Republic,CZE,2004,0.870798003804,0.3260637,0.580831,2.0191,26.3247,0.0001,0.0099,0.41070605444683594
Czech Republic,CZE,2005,0.8413089060240001,0.32252759999999997,0.648312,2.3799099999999997,24.7276,0.000068,0.02128,0.428965599307255
Czech Republic,CZE,2006,0.871110967104,0.3179259,0.912375,2.5507299999999997,26.0465,0.00016999999999999999,0.049375,0.423037491118447
Czech Republic,CZE,2007,0.8694530780399999,0.3030678,1.187319,2.079338,26.1721,0.001754,0.12509800000000001,0.42009214
Czech Republic,CZE,2008,0.824578578828,0.3003417,1.456526,2.0243349999999998,26.551,0.012937,0.24466100000000002,0.42203470200000004
Czech Republic,CZE,2009,0.761674044096,0.2848806,1.86202,2.42962,27.2078,0.08880700000000001,0.288067,0.40744431799999997
Czech Republic,CZE,2010,0.7861721831999999,0.3378555,2.146246,2.7894,27.9882,0.6157020000000001,0.335493,0.38474436100000003
Czech Republic,CZE,2011,0.773959203864,0.28508579999999994,2.705329,2.1341,28.2826,2.1180000000000003,0.3968,0.392149081404695
Czech Republic,CZE,2012,0.7421370117839999,0.2870514,3.361419,2.2315,30.3242,2.1731,0.4173,0.38701102297372797
Czech Republic,CZE,2013,0.707416214328,0.2908323,3.9954690000000004,2.8564,30.7453,2.0702,0.4783,0.37017219745321706
Czech Republic,CZE,2014,0.685568989512,0.2588328,4.661073,1.9092,30.3249,2.1229,0.4765,0.39143370667087607
Czech Republic,CZE,2015,0.683500166028,0.2714202,4.791685,1.7948,26.8408,2.2638,0.5726,0.383963019139614
Czech Republic,CZE,2016,0.68834592648,0.2937591,4.76655,2.0005,24.1042,2.131,0.49700000000000005,0.3578658664895739
